REGIONE,COMUNE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA
LAZIO,POGGIO MIRTETO,RIETI,RIIC82500N,IST. COMPRENSIVO BASSA SABINA,RIAA82505P,FRAZ SCALO,VIA BRODOLINI SNC,02040,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8E0001,PIAZZA DE CUPIS,RMAA8E001T,VIA LUIGI APPIANI,VIA LUIGI APPIANI 32,00155,SCUOLA INFANZIA
LAZIO,PASTENA,FROSINONE,FRIC814003,I.C. CASTRO DEI VOLSCI,FRMM814047,SEZ. STAC. PASTENA,VIA PORTA NAPOLI 69,03020,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8GE009,IC VIA CENEDA,RMIC8GE009,IC VIA CENEDA,VIA CENEDA 26,00183,ISTITUTO COMPRENSIVO
LAZIO,ROMA,ROMA,RMMM67300X,CPIA 4,RMCT71900T,C.T.P. 20,VIA AMULIO 4,00181,CENTRO TERRITORIALE
LAZIO,COLLEFERRO,ROMA,RMIC8C200B,I.C. MARGHERITA HACK,RMAA8C2029,COLLEFERRO I - C.U.,VIA BRUNO BUOZZI 41,00034,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIS03200G,"I.I.S. ""TOMMASO SALVINI""",RMTD032517,"PERCORSO II LIV. ""PANTALEONI""",VIA CAPOSILE 1,00196,ISTITUTO TECNICO COMMERCIALE
LAZIO,LATINA,LATINA,LTIC804004,I.C.ALDO MANUZIO,LTAA804033,VALENTINA CIANCARELLI,VIA DELLA STAZIONE,04013,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8FN00P,IC VIALE VEGA,RMAA8FN01G,VIA DELLE QUINQUEREMI,VIA DELLE QUINQUEREMI,00122,SCUOLA INFANZIA
LAZIO,LADISPOLI,ROMA,RMIS05900G,I.S.I.S. GIUSEPPE DI VITTORIO,RMRH05901Q,I.P.S.S.A.R. VIA FEDERICI - LADISPOLI,VIA FEDERICI SNC,00055,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE
LAZIO,ROMA,ROMA,RMIC8FY006,I.C. MARIO LODI,RMIC8FY006,I.C. MARIO LODI,VIA D'AVARNA 9/11,00151,ISTITUTO COMPRENSIVO
LAZIO,LATINA,LATINA,LTIC84900N,I.C. N. 12 - BORGO FAITI,LTEE84901Q,MANZONI BORGO ISONZO,VIA BOLOGNINI SNC,04100,SCUOLA PRIMARIA
LAZIO,ORTE,VITERBO,VTIS00400D,IST. OMNICOMPRENSIVO ORTE,VTIS00400D,IST. OMNICOMPRENSIVO ORTE,VIA DEL CAMPO SPORTIVO 22,01028,ISTITUTO SUPERIORE
LAZIO,ROMA,ROMA,RMIC839006,IC VIA G. MESSINA,RMAA839024,VIA G. MESSINA N .71,Non Disponibile,00173,SCUOLA INFANZIA
LAZIO,FIUMICINO,ROMA,RMIC8DH001,IC FREGENE -PASSOSCURO,RMEE8DH013,PASSOSCURO,VIA SERRENTI 72,00050,SCUOLA PRIMARIA
LAZIO,ARPINO,FROSINONE,FRIC82900R,I. C. ARPINO,FREE82901V,ARPINO CAPOLUOGO,VIA VITTORIA COLONNA S.N.C.,03033,SCUOLA PRIMARIA
LAZIO,MENTANA,ROMA,RMIC8CB00B,"MENTANA ""VIA PARIBENI 10""",RMEE8CB02E,ALESSANDRA PRANDELLI,VIA MATTEOTTI,00013,SCUOLA PRIMARIA
LAZIO,VELLETRI,ROMA,RMIC8F700A,"I.C. "" GINO FELCI """,RMAA8F704A,MENOTTI GARIBALDI,VIA GUIDO NATI 42,00049,SCUOLA INFANZIA
LAZIO,CISTERNA DI LATINA,LATINA,LTIC80000R,"ISTITUTO COMPRENSIVO""L.CAETANI""",LTEE800064,PRATO CESARINO,VIA CONCA,04012,SCUOLA PRIMARIA
